Match ID,Team 1,Team 2,Event,Date,Team 1 Score,Team 2 Score,Winner,Match VOD
81,Los Angeles Thieves,London Royal Ravens,Major 2,4/8/2021,3,2,Los Angeles Thieves,https://youtu.be/q-Y_Wkvc9UM?t=1
82,Florida Mutineers,Seattle Surge,Major 2,4/8/2021,1,3,Seattle Surge,https://youtu.be/n3dXoi6NmEg?t=1
83,Dallas Empire,Minnesota ROKKR,Major 2,4/9/2021,3,2,Dallas Empire,https://youtu.be/jbK9_i_NP40?t=1
84,Toronto Ultra,Atlanta FaZe,Major 2,4/9/2021,1,3,Atlanta FaZe,https://youtu.be/0d6aUrW8N94?t=1
85,Seattle Surge,OpTic Chicago,Major 2,4/9/2021,1,3,OpTic Chicago,https://youtu.be/nk8fuYzGGlI?t=1
86,Los Angeles Thieves,New York Subliners,Major 2,4/9/2021,3,0,Los Angeles Thieves,https://youtu.be/SYc_CP1HDQM?t=1
87,Los Angeles Thieves,Toronto Ultra,Major 2,4/10/2021,0,3,Toronto Ultra,https://youtu.be/XLnXnwkNOqw?t=1
88,OpTic Chicago,Minnesota ROKKR,Major 2,4/10/2021,2,3,Minnesota ROKKR,https://youtu.be/nfS5K_8h_A0?t=1
89,Dallas Empire,Atlanta FaZe,Major 2,4/10/2021,1,3,Atlanta FaZe,https://youtu.be/QlR7BOWU794?t=1
90,Toronto Ultra,Minnesota ROKKR,Major 2,4/11/2021,3,1,Toronto Ultra,https://youtu.be/W53hrbNGa5I?t=1
91,Toronto Ultra,Dallas Empire,Major 2,4/11/2021,3,1,Toronto Ultra,https://youtu.be/pT5DI5i1whY?t=1
92,Toronto Ultra,Atlanta FaZe,Major 2,4/11/2021,5,3,Toronto Ultra,https://youtu.be/BfPCQ7CssLg?t=1
93,Paris Legion,Dallas Empire,Stage 3 Week 1,4/22/2021,1,3,Dallas Empire,https://youtu.be/96ZEG-cvQ-I?t=1
94,Florida Mutineers,Toronto Ultra,Stage 3 Week 1,4/22/2021,0,3,Toronto Ultra,https://youtu.be/IdglUNIORbE?t=1
95,Seattle Surge,Los Angeles Thieves,Stage 3 Week 1,4/23/2021,2,3,Los Angeles Thieves,https://youtu.be/k0ex59KY8TA?t=1
96,London Royal Ravens,OpTic Chicago,Stage 3 Week 1,4/23/2021,1,3,OpTic Chicago,https://youtu.be/hw237E96qB4?t=1
97,Los Angeles Guerrillas,Paris Legion,Stage 3 Week 1,4/24/2021,3,0,Los Angeles Guerrillas,https://youtu.be/x2VqZNP7o7s?t=1
98,Florida Mutineers,Minnesota ROKKR,Stage 3 Week 1,4/24/2021,3,1,Florida Mutineers,https://youtu.be/EQLC63BDRQg?t=1
99,Seattle Surge,OpTic Chicago,Stage 3 Week 1,4/24/2021,0,3,OpTic Chicago,https://youtu.be/RbdY0TZlo4A?t=1
100,London Royal Ravens,Los Angeles Thieves,Stage 3 Week 1,4/25/2021,1,3,Los Angeles Thieves,https://youtu.be/89FdhuAIg1o?t=1
101,New York Subliners,Atlanta FaZe,Stage 3 Week 1,4/25/2021,3,2,New York Subliners,https://youtu.be/hUT0jixYEuE?t=1
102,Dallas Empire,Toronto Ultra,Stage 3 Week 1,4/25/2021,0,3,Toronto Ultra,https://youtu.be/9Rqgcu_PNac?t=1
103,London Royal Ravens,New York Subliners,Stage 3 Week 2,4/29/2021,3,2,London Royal Ravens,https://youtu.be/VkKRfx4npPg?t=1
104,Los Angeles Thieves,Atlanta FaZe,Stage 3 Week 2,4/29/2021,2,3,Atlanta FaZe,https://youtu.be/0pSJFl2BJpU?t=1
105,Los Angeles Guerrillas,Toronto Ultra,Stage 3 Week 2,4/30/2021,0,3,Toronto Ultra,https://youtu.be/4VXh7Tcj88Y?t=1
106,Paris Legion,Minnesota ROKKR,Stage 3 Week 2,4/30/2021,1,3,Minnesota ROKKR,https://youtu.be/t4-UUohdF00?t=1
107,London Royal Ravens,Atlanta FaZe,Stage 3 Week 2,5/1/2021,2,3,Atlanta FaZe,https://youtu.be/SB0iIFUgUJM?t=1
108,Los Angeles Guerrillas,Dallas Empire,Stage 3 Week 2,5/1/2021,2,3,Dallas Empire,https://youtu.be/6IPp5HwWMLM?t=1
109,Seattle Surge,New York Subliners,Stage 3 Week 2,5/1/2021,0,3,New York Subliners,https://youtu.be/LvPS9urrQrE?t=1
110,Paris Legion,Florida Mutineers,Stage 3 Week 2,5/2/2021,3,1,Paris Legion,https://youtu.be/wV17c5Q_ibs?t=1
111,Minnesota ROKKR,Toronto Ultra,Stage 3 Week 2,5/2/2021,1,3,Toronto Ultra,https://youtu.be/wlrXdrrHhNQ?t=1
112,Los Angeles Thieves,OpTic Chicago,Stage 3 Week 2,5/2/2021,3,1,Los Angeles Thieves,https://youtu.be/MA_JZgcYA3c?t=1
113,Los Angeles Guerrillas,Minnesota ROKKR,Stage 3 Week 3,5/6/2021,2,3,Minnesota ROKKR,https://youtu.be/utWS2f1Gp5E?t=1
114,New York Subliners,OpTic Chicago,Stage 3 Week 3,5/6/2021,3,1,New York Subliners,https://youtu.be/PR1WIJSMfIg?t=1
115,Seattle Surge,Atlanta FaZe,Stage 3 Week 3,5/7/2021,1,3,Atlanta FaZe,https://youtu.be/gkiE8s_8avE?t=1
116,Florida Mutineers,Dallas Empire,Stage 3 Week 3,5/7/2021,3,0,Florida Mutineers,https://youtu.be/ESGEASQVSqM?t=1
117,Paris Legion,Toronto Ultra,Stage 3 Week 3,5/8/2021,0,3,Toronto Ultra,https://youtu.be/XB1DNQS0LgU?t=1
118,New York Subliners,Los Angeles Thieves,Stage 3 Week 3,5/8/2021,3,1,New York Subliners,https://youtu.be/3OeVrb-ILVM?t=1
119,Los Angeles Guerrillas,Florida Mutineers,Stage 3 Week 3,5/8/2021,2,3,Florida Mutineers,https://youtu.be/3XfVXb5xs3I?t=1
120,London Royal Ravens,Seattle Surge,Stage 3 Week 3,5/9/2021,3,1,London Royal Ravens,https://youtu.be/UpTGnrobNZo?t=1
121,OpTic Chicago,Atlanta FaZe,Stage 3 Week 3,5/9/2021,0,3,Atlanta FaZe,https://youtu.be/zEoUToI3nBo?t=1
122,Minnesota ROKKR,Dallas Empire,Stage 3 Week 3,5/9/2021,1,3,Dallas Empire,https://youtu.be/Kif0HLiHP6c?t=1
123,Paris Legion,London Royal Ravens,Major 3,5/13/2021,1,3,London Royal Ravens,https://youtu.be/83-352cOPZo?t=1
124,Seattle Surge,Los Angeles Guerrillas,Major 3,5/13/2021,1,3,Los Angeles Guerrillas,https://youtu.be/JY2HP6Dn6bw?t=1
125,Dallas Empire,Atlanta FaZe,Major 3,5/13/2021,0,3,Atlanta FaZe,https://youtu.be/PvuteN9FGNs?t=1
126,Los Angeles Thieves,Florida Mutineers,Major 3,5/13/2021,1,3,Florida Mutineers,https://youtu.be/rYEEBfuhKNE?t=1
127,London Royal Ravens,Minnesota ROKKR,Major 3,5/14/2021,3,0,London Royal Ravens,https://youtu.be/MgsbH8jFAh0?t=1
128,Los Angeles Guerrillas,OpTic Chicago,Major 3,5/14/2021,1,3,OpTic Chicago,https://youtu.be/_xDYIIscUBE?t=1
129,Atlanta FaZe,Toronto Ultra,Major 3,5/14/2021,3,2,Atlanta FaZe,https://youtu.be/-Wht7eVStfU?t=1
130,Florida Mutineers,New York Subliners,Major 3,5/14/2021,0,3,New York Subliners,https://youtu.be/D_wLjB2eST4?t=1
131,London Royal Ravens,Los Angeles Thieves,Major 3,5/15/2021,0,3,Los Angeles Thieves,https://youtu.be/H1ZX50AA7fI?t=1
132,OpTic Chicago,Dallas Empire,Major 3,5/15/2021,3,0,OpTic Chicago,https://youtu.be/XLRqVUdUKfw?t=1
133,Los Angeles Thieves,Toronto Ultra,Major 3,5/15/2021,1,3,Toronto Ultra,https://youtu.be/1a7H5Nu5hhw?t=1
134,OpTic Chicago,Florida Mutineers,Major 3,5/15/2021,3,0,OpTic Chicago,https://youtu.be/TUePXSuhNPs?t=1
135,New York Subliners,Atlanta FaZe,Major 3,5/15/2021,3,2,New York Subliners,https://youtu.be/3r08IwCGhrU?t=1
136,Toronto Ultra,OpTic Chicago,Major 3,5/16/2021,3,2,Toronto Ultra,https://youtu.be/kzuukklPQV0?t=1
137,Toronto Ultra,Atlanta FaZe,Major 3,5/16/2021,2,3,Atlanta FaZe,https://youtu.be/36FFroiDhQQ?t=1
138,Atlanta FaZe,New York Subliners,Major 3,5/16/2021,5,2,Atlanta FaZe,https://youtu.be/FehDbSaX6rE?t=1
139,Paris Legion,Atlanta FaZe,Stage 4 Week 1,5/27/2021,1,3,Atlanta FaZe,https://youtu.be/cKjhpx8j21w?t=1
140,Florida Mutineers,Toronto Ultra,Stage 4 Week 1,5/27/2021,3,2,Florida Mutineers,https://youtu.be/Yq7kMlEQitA?t=1
141,London Royal Ravens,Dallas Empire,Stage 4 Week 1,5/28/2021,2,3,Dallas Empire,https://youtu.be/tjS5qLNL9e8?t=1
142,Minnesota ROKKR,OpTic Chicago,Stage 4 Week 1,5/28/2021,0,3,OpTic Chicago,https://youtu.be/xWGmSGngciA?t=1
143,Paris Legion,Minnesota ROKKR,Stage 4 Week 1,5/29/2021,1,3,Minnesota ROKKR,https://youtu.be/hZxQBPt_IBg?t=1
144,Seattle Surge,Los Angeles Thieves,Stage 4 Week 1,5/29/2021,2,3,Los Angeles Thieves,https://youtu.be/W8GsVrhNUuY?t=1
