Match ID,Map ID,Event,Team,Opponent,Mode,Map,Map Number,Player,Kills,Deaths,K/D,Plus/Minus,Map Result
1962,6,Launch Weekend,Florida Mutineers,Seattle Surge,Search and Destroy,Gun Runner,2,Skyz,11,7,1.57,4,Win
1962,6,Launch Weekend,Florida Mutineers,Seattle Surge,Search and Destroy,Gun Runner,2,Frosty,7,7,1,0,Win
1962,6,Launch Weekend,Florida Mutineers,Seattle Surge,Search and Destroy,Gun Runner,2,Havok,7,6,1.17,1,Win
1962,6,Launch Weekend,Florida Mutineers,Seattle Surge,Search and Destroy,Gun Runner,2,Prestinni,6,6,1,0,Win
1962,7,Launch Weekend,Seattle Surge,Florida Mutineers,Domination,Gun Runner,3,Octane,34,21,1.62,13,Win
1962,7,Launch Weekend,Seattle Surge,Florida Mutineers,Domination,Gun Runner,3,Karma,23,20,1.15,3,Win
1962,7,Launch Weekend,Seattle Surge,Florida Mutineers,Domination,Gun Runner,3,Slacked,15,19,0.79,-4,Win
1962,7,Launch Weekend,Seattle Surge,Florida Mutineers,Domination,Gun Runner,3,Apathy,27,22,1.23,5,Win
1962,7,Launch Weekend,Seattle Surge,Florida Mutineers,Domination,Gun Runner,3,Enable,27,23,1.17,4,Win
1962,7,Launch Weekend,Florida Mutineers,Seattle Surge,Domination,Gun Runner,3,Maux,23,22,1.05,1,Loss
1962,7,Launch Weekend,Florida Mutineers,Seattle Surge,Domination,Gun Runner,3,Skyz,22,26,0.85,-4,Loss
1962,7,Launch Weekend,Florida Mutineers,Seattle Surge,Domination,Gun Runner,3,Frosty,19,23,0.83,-4,Loss
1962,7,Launch Weekend,Florida Mutineers,Seattle Surge,Domination,Gun Runner,3,Havok,21,26,0.81,-5,Loss
1962,7,Launch Weekend,Florida Mutineers,Seattle Surge,Domination,Gun Runner,3,Prestinni,20,29,0.69,-9,Loss
1962,8,Launch Weekend,Seattle Surge,Florida Mutineers,Hardpoint,Azhir Cave,4,Octane,18,25,0.72,-7,Loss
1962,8,Launch Weekend,Seattle Surge,Florida Mutineers,Hardpoint,Azhir Cave,4,Karma,21,24,0.88,-3,Loss
1962,8,Launch Weekend,Seattle Surge,Florida Mutineers,Hardpoint,Azhir Cave,4,Slacked,23,28,0.82,-5,Loss
1962,8,Launch Weekend,Seattle Surge,Florida Mutineers,Hardpoint,Azhir Cave,4,Apathy,35,23,1.52,12,Loss
1962,8,Launch Weekend,Seattle Surge,Florida Mutineers,Hardpoint,Azhir Cave,4,Enable,30,30,1,0,Loss
1962,8,Launch Weekend,Florida Mutineers,Seattle Surge,Hardpoint,Azhir Cave,4,Maux,22,17,1.29,5,Win
1962,8,Launch Weekend,Florida Mutineers,Seattle Surge,Hardpoint,Azhir Cave,4,Skyz,30,26,1.15,4,Win
1962,8,Launch Weekend,Florida Mutineers,Seattle Surge,Hardpoint,Azhir Cave,4,Frosty,23,31,0.74,-8,Win
1962,8,Launch Weekend,Florida Mutineers,Seattle Surge,Hardpoint,Azhir Cave,4,Havok,23,24,0.96,-1,Win
1962,8,Launch Weekend,Florida Mutineers,Seattle Surge,Hardpoint,Azhir Cave,4,Prestinni,32,29,1.1,3,Win
1962,9,Launch Weekend,Seattle Surge,Florida Mutineers,Search and Destroy,Rammaza,5,Octane,1,6,0.17,-5,Loss
1962,9,Launch Weekend,Seattle Surge,Florida Mutineers,Search and Destroy,Rammaza,5,Karma,5,6,0.83,-1,Loss
1962,9,Launch Weekend,Seattle Surge,Florida Mutineers,Search and Destroy,Rammaza,5,Slacked,5,6,0.83,-1,Loss
1962,9,Launch Weekend,Seattle Surge,Florida Mutineers,Search and Destroy,Rammaza,5,Apathy,0,6,0,-6,Loss
1962,9,Launch Weekend,Seattle Surge,Florida Mutineers,Search and Destroy,Rammaza,5,Enable,2,6,0.33,-4,Loss
1962,9,Launch Weekend,Florida Mutineers,Seattle Surge,Search and Destroy,Rammaza,5,Maux,4,1,4,3,Win
